Z,k,E_eV
1,0,13.598434599702
1,0,13.602134636569
1,0,13.603365719
2,0,24.587389011
2,0,24.58609272
2,1,54.4177655282
2,1,54.415324912
3,0,5.391714996
3,1,75.640097
3,2,122.45435913
4,0,9.322699
4,1,18.21115
4,2,153.896205
4,3,217.71858459
5,0,8.298019
5,0,8.298022
5,0,8.298019
5,1,25.15483
5,2,37.93059
5,3,259.374379
5,4,340.2260225
6,0,11.260288
6,1,24.383143
6,2,47.88778
6,3,64.49352
6,4,392.09056
6,5,489.99320779
7,0,14.53413
7,1,29.60125
7,2,47.4453
7,3,77.4735
7,4,97.8901
7,5,552.06741
7,6,667.0461377
8,0,13.618055
8,1,35.12112
8,2,54.93554
8,3,77.4135
8,4,113.899
8,5,138.1189
8,6,739.32697
8,7,871.4099138
9,0,17.42282
9,1,34.97081
9,2,62.70798
9,3,87.175
9,4,114.249
9,5,157.16311
9,6,185.1868
9,7,953.8983
9,8,1103.1175302
10,0,21.564541
10,1,40.96297
10,2,63.4233
10,3,97.19
10,4,126.247
10,5,157.934
10,6,207.271
10,7,239.097
10,8,1195.8082
10,9,1362.199256
11,0,5.13907696
11,1,47.28636
11,2,71.62
11,3,98.936
11,4,138.404
11,5,172.23
11,6,208.504
11,7,264.192
11,8,299.856
11,9,1465.0992
11,10,1648.702285
12,0,7.646236
12,1,15.035271
12,2,80.1436
12,3,109.2654
12,4,141.33
12,5,186.76
12,6,225.02
12,7,265.924
12,8,327.99
12,9,367.489
12,10,1761.8049
12,11,1962.663889
13,0,5.985769
13,1,18.82855
13,2,28.447642
13,3,119.9924
13,4,153.8252
13,5,190.49
13,6,241.76
13,7,284.64
13,8,330.21
13,9,398.65
13,10,442.005
13,11,2085.97693
13,12,2304.140359
14,0,8.15168
14,1,16.34585
14,2,33.493
14,3,45.14179
14,4,166.767
14,5,205.279
14,6,246.57
14,7,303.59
14,8,351.28
14,9,401.38
14,10,476.273
14,11,523.415
14,12,2437.65805
14,13,2673.177958
15,0,10.486686
15,1,19.76949
15,2,30.20264
15,3,51.44387
15,4,65.02511
15,5,220.43
15,6,263.57
15,7,309.6
15,8,372.31
15,9,424.4
15,10,479.44
15,11,560.62
15,12,611.741
15,13,2816.90868
15,14,3069.842145
16,0,10.3600167
16,1,23.33788
16,2,34.86
16,3,47.222
16,4,72.5945
16,5,88.0529
16,6,280.954
16,7,328.794
16,8,379.84
16,9,447.7
16,10,504.55
16,11,564.41
16,12,651.96
16,13,706.994
16,14,3223.78057
16,15,3494.188518
17,0,12.967633
17,1,23.81364
17,2,39.8
17,3,53.24
17,4,67.68
17,5,96.94
17,6,114.2013
17,7,348.306
17,8,400.851
17,9,456.7
17,10,530.0
17,11,591.58
17,12,656.3
17,13,750.23
17,14,809.198
17,15,3658.34366
17,16,3946.29179
18,0,15.7596119
18,1,27.62967
18,2,40.735
18,3,59.58
18,4,74.84
18,5,91.29
18,6,124.41
18,7,143.4567
18,8,422.6
18,9,479.76
18,10,540.4
18,11,619.0
18,12,685.5
18,13,755.13
18,14,855.5
18,15,918.375
18,16,4120.66559
18,17,4426.22407
19,0,4.34066373
19,0,4.34066373
19,1,31.625
19,2,45.8031
19,3,60.917
19,4,82.66
19,5,99.44
19,6,117.56
19,7,154.87
19,8,175.8174
19,9,503.67
19,10,565.6
19,11,631.1
19,12,714.7
19,13,786.3
19,14,860.92
19,15,967.7
19,16,1034.542
19,17,4610.80714
19,18,4934.04979
20,0,6.113154921
20,1,11.871719
20,2,50.91316
20,3,67.2732
20,4,84.34
20,5,108.78
20,6,127.21
20,7,147.24
20,8,188.54
20,9,211.275
20,10,591.6
20,11,658.2
20,12,728.6
20,13,817.2
20,14,894.0
20,15,973.7
20,16,1086.8
20,17,1157.726
20,18,5128.8576
20,19,5469.86358
21,0,6.56149
21,1,12.79977
21,2,24.756839
21,3,73.4894
21,4,91.95
21,5,110.68
21,6,137.99
21,7,158.08
21,8,180.03
21,9,225.18
21,10,249.798
21,11,687.36
21,12,757.7
21,13,833.2
21,14,926.5
21,15,1008.6
21,16,1093.5
21,17,1213.1
21,18,1287.957
21,19,5674.9036
21,20,6033.75643
22,0,6.82812
22,1,13.5755
22,2,27.49171
22,3,43.26717
22,4,99.299
22,5,119.533
22,6,140.68
22,7,170.5
22,8,192.1
22,9,215.92
22,10,265.07
22,11,291.5
22,12,787.67
22,13,864.0
22,14,944.5
22,15,1042.5
22,16,1130.2
22,17,1220.3
22,18,1346.3
22,19,1425.257
22,20,6249.0226
22,21,6625.81023
23,0,6.746187
23,1,14.634
23,2,29.3111
23,3,46.709
23,4,65.28165
23,5,128.125
23,6,150.72
23,7,173.55
23,8,206.0
23,9,230.5
23,10,254.8
23,11,308.5
23,12,336.274
23,13,896.0
23,14,977.2
23,15,1062.9
23,16,1165.2
23,17,1258.9
23,18,1354.2
23,19,1486.7
23,20,1569.656
23,21,6851.3112
23,22,7246.12624
24,0,6.76651
24,1,16.486305
24,2,30.959
24,3,49.16
24,4,69.46
24,5,90.6349
24,6,160.29
24,7,184.76
24,8,209.5
24,9,244.5
24,10,270.8
24,11,296.7
24,12,354.7
24,13,384.163
24,14,1011.6
24,15,1097.2
24,16,1188.0
24,17,1294.8
24,18,1394.5
24,19,1495.1
24,20,1634.1
24,21,1721.183
24,22,7481.8624
24,23,7894.80289
25,0,7.434038
25,1,15.63999
25,2,33.668
25,3,51.21
25,4,72.41
25,5,95.604
25,6,119.203
25,7,195.5
25,8,221.89
25,9,248.6
25,10,286.1
25,11,314.4
25,12,343.6
25,13,402.95
25,14,435.172
25,15,1133.7
25,16,1224.1
25,17,1320.3
25,18,1430.9
25,19,1537.2
25,20,1643.2
25,21,1788.7
25,22,1879.873
25,23,8140.7864
25,24,8571.95438
26,0,7.9024681
26,1,16.19921
26,2,30.651
26,3,54.91
26,4,75.0
26,5,98.985
26,6,124.9671
26,7,151.06
26,8,233.6
26,9,262.1
26,10,290.9
26,11,330.8
26,12,361.0
26,13,392.2
26,14,456.2
26,15,489.312
26,16,1262.7
26,17,1357.8
26,18,1460.0
26,19,1575.6
26,20,1687.0
26,21,1798.4
26,22,1950.4
26,23,2045.759
