Z,k,Symbole,E_exp_eV,E_pred_eV,m,Delta,Err_percent,Lambda_e,Eps_0,Eps_1,Eps_2,Eps_3,Eps_4,Eps_5,Eps_6,Eps_7,Eps_8,Eps_9,Eps_10,Eps_11,Eps_12,Eps_13,Eps_14,,,Factor_4_Zk
1,0,H,13.598434599702,13.5984084436375,-1,9.141787188999999,0.0001923461432880263,5.95,1,0,0,-1,0,0,0,0,1,0,1,0,1,0,0,,,4.0
1,0,H,13.602134636569,13.602100632837502,-1,9.144269333,0.00024998819969529495,5.95,0,0,0,1,-1,0,0,0,0,1,0,0,1,-1,1,,,4.0
1,0,H,13.603365719,13.6032668611,-1,9.145053352,0.0007267164762125005,5.95,1,-1,0,0,0,0,0,0,0,1,1,-1,0,0,1,,,4.0
2,0,He,24.587389011,24.587458639012503,-1,16.529383959,0.0002831858741607198,5.95,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,,,16.0
2,0,He,24.58609272,24.585604198050003,0,4.132034319000001,0.001986984900611824,5.95,1,0,-1,0,-1,-1,0,0,0,0,1,0,1,0,0,,,16.0
2,1,He,54.4177655282,54.41780371580001,1,2.2864623410000005,7.017487697498818e-05,5.95,0,1,0,1,1,1,0,0,-1,0,0,0,0,0,0,,,4.0
2,1,He,54.415324912,54.4160786561,0,9.145559438,0.0013851687942952652,5.95,0,1,-1,0,1,0,0,-1,0,1,0,0,0,0,1,,,4.0
3,0,Li,5.391714996,5.391719449199999,-1,3.6246853439999995,8.25933863767082e-05,5.95,0,0,0,1,0,0,0,0,-1,0,-1,-1,1,0,1,,,64.0
3,1,Li,75.640097,75.6398363154,0,12.712577532000001,0.0003446381090620632,5.95,1,-1,-1,0,1,0,0,0,0,0,0,0,1,0,1,,,16.0
3,2,Li,122.45435913,122.45317491540001,1,5.1450913830000005,0.0009670661039764767,5.95,0,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,,,4.0
4,0,Be,9.322699,9.32279954865,-1,6.267428268,0.0010785358403169014,5.95,1,0,0,0,0,-1,0,-1,1,0,1,0,1,0,0,,,256.0
4,1,Be,18.21115,18.211166749300002,0,3.060700294,9.197277493217792e-05,5.95,1,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,,,64.0
4,2,Be,153.896205,153.89519233760004,2,1.6165461380000004,0.0006580164858337095,5.95,1,-1,0,0,0,1,0,0,-1,-1,0,0,0,1,0,,,16.0
4,3,Be,217.71858459,217.7201583732,1,9.147905814,0.0007228520261442253,5.95,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,,,4.0
5,0,B,8.298019,8.29803620135,0,1.3946279329999998,0.00020729465670657146,5.95,0,1,1,0,0,1,0,0,0,0,0,-1,0,-1,1,,,1024.0
5,0,B,8.298022,8.29803620135,0,1.3946279329999998,0.00017114138767003654,5.95,0,1,1,0,0,1,0,0,0,0,0,-1,0,-1,1,,,1024.0
5,0,B,8.298019,8.29803620135,0,1.3946279329999998,0.00020729465670657146,5.95,0,1,1,0,0,1,0,0,0,0,0,-1,0,-1,1,,,1024.0
5,1,B,25.15483,25.154830386700002,-1,16.910810344,1.5372793288511e-06,5.95,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,,,256.0
