N-Z,N,Z,A,El,Orig,MassExcess_keV,Error_keV,BindingPerA_keV,Error_BindingPerA_keV,BetaDecay_keV,Error_BetaDecay_keV,AtomicMass_u,Error_AtomicMass_u
1,a0,ssk,w,,,,AT,MICMAS,SADJU,TMENT,,,
0,,,,,,,,DATE3Mar,2021TIME22,41,,,
0,,**,***,***,**,*******,,A=,0TO295,,,,
1N-Z,,N,Z,A,EL,OMASS,XCESS,BINDINGENE,GY/A,ETA-DECAYENER,Y,ATOMICMASS,
0  1,,1,0,1,n,8071.3,8060.00,440.0,0.0,B-782.3470,0.0004,1008664.9159,0.00047
0  0,,1,1,2,H,13135.7,28950.00,0151112.283,0.0002,B-*,,2014101.7778,40.00001
0  1,,2,1,3,H,14949.8,0900.00,082827.265,0.0003,B-18.5920,0.00006,3016049.2813,0.00008
0  2,,3,1,4,H,-n24621.1,9100.00,1720.449,25.0000,B-22196.2131,100.0000,4026431.867,107.354
0  3,,4,1,5,H,-nn32892.4,789.44,1336.359,17.8885,B-21661.2131,91.6515,5035311.492,96.020
0  4,,5,1,6,H,-3n41875.7,5254.12,961.639,42.3545,B-24283.6294,254.1268,6044955.437,272.816
0  5,,6,1,7,H,-nn49135#,1004#,940#,143#,B-23062#,1004#,7052749#,1078#
0  4,,6,2,8,He,31609.6,30.08,3924.521,0.0111,B-10663.8784,0.1005,8033934.388,0.095
0  5,,7,2,9,He,40935.8,646.81,3349.038,5.2018,B-15980.9213,46.8169,9043946.414,50.259
0  6,,8,2,10,He,-nn49197.1,792.84,2995.134,9.2848,B-16144.5191,93.7152,10052815.306,99.676
0  5,,8,3,11,Li,x40728.2,90.61,4155.381,0.0559,B-20551.0898,0.6591,11043723.581,0.660
0  6,,9,3,12,Li,-n49009.5,730.00,3791.599,2.5005,B-23931.8152,30.0669,12052613.942,32.213
0  7,,0,3,13,Li,-nn56980.8,570.00,3507.630,5.3848,B-23321.8152,70.7391,13061171.503,75.150
0  6,,0,4,14,Be,x39954.5,2132.24,4993.897,9.4461,B-16290.8166,133.9357,14042892.920,141.970
0  7,,1,4,15,Be,-n49825.8,1165.79,4540.970,11.0532,B-20868.4411,167.1256,15053490.215,177.990
0  8,,2,4,16,Be,-nn57447.1,9165.79,4285.285,10.3623,B-20335.4399,167.6075,16061672.036,177.990
0  7,,2,5,17,B,x43716.3,2204.10,5269.667,12.0061,B-22684.4422,204.8410,17046931.399,219.114
0  8,,3,5,18,B,-n51792.6,0204.16,4976.630,11.3425,B-26873.3742,206.3572,18055601.683,219.180
0  9,,4,5,19,B,x59770.2,1525.36,4719.634,27.6507,B-27356.4961,534.4964,19064166.000,564.000
0 10,,5,5,20,B,-n69401.5,9546.35,4405.652,27.3178,B-31898.0019,593.0377,20074505.644,586.538
0 11,,6,5,21,B,-nn78382.8,7558.66,4152.526,26.6031,B-32740#,817#,21084147.485,599.750
0 10,,6,6,22,C,-nn53611.2,3231.49,5421.077,10.5223,B-21846.3983,311.0627,22057553.990,248.515
0 11,,7,6,23,C,x64171#,997#,5077#,43#,B-27450#,1082#,23068890#,1070#
0 10,,7,7,24,N,x46938#,401#,5887#,17#,B-28438#,433#,24050390#,430#
0 11,,8,7,25,N,x55983#,503#,5613#,20#,B-28654#,529#,25060100#,540#
0 10,,8,8,26,O,-nn34661.0,1164.95,6497.479,6.3442,B-15986.3855,196.6301,26037210.155,177.081
