N-Z,N,Z,A,El,Origin,MassExcess_keV,Error_keV,BindingPerA_keV,Error_BindingPerA_keV,BetaDecay_keV,Error_BetaDecay_keV,AtomicMass_u,Error_AtomicMass_u
1,1,0,1,n,,8071.31806,0.00044,0.0,0.0B,782.3470,0.0004,1 08664.91590,0.00047
0,1,1,2,H,,13135.722895,0.000015,1112.2831,0.0002B,,,2 04101.777844,0.000015
1,2,1,3,H,,14949.81090,0.00008,2827.2654,0.0003B,18.59202,0.00006,3 06049.28132,0.00008
2,3,1,4,H,-n,24621.129,100.000,1720.4491,25.0000B,22196.2131,100.0000,4 06431.867,107.354
3,4,1,5,H,-nn,32892.447,89.443,1336.3592,17.8885B,21661.2131,91.6515,5 05311.492,96.020
4,5,1,6,H,-3n,41875.725,254.127,961.6395,42.3545B,24283.6294,254.1268,6 04955.437,272.816
5,6,1,7,H,-nn,49135#,1004#,940#,143#B,23062#1,004#,7 02749#1,078#
4,6,2,8,He,,31609.683,0.089,3924.5210,0.0111B,10663.8784,0.1005,8 03934.388,0.095
5,7,2,9,He,,40935.826,46.816,3349.0380,5.2018B,15980.9213,46.8169,9 03946.414,50.259
6,8,2,10,He,-nn,49197.147,92.848,2995.1340,9.2848B,16144.5191,93.7152,0 02815.306,99.676
5,8,3,11,Li,x,40728.259,0.615,4155.3817,0.0559B,20551.0898,0.6591,1 03723.581,0.660
6,9,3,12,Li,-n,49009.577,30.006,3791.5999,2.5005B,23931.8152,30.0669,2 02613.942,32.213
7,10,3,13,Li,-nn,56980.895,70.003,3507.6307,5.3848B,23321.8152,70.7391,3 01171.503,75.150
6,10,4,14,Be,x,39954.502,132.245,4993.8973,9.4461B,16290.8166,133.9357,4 02892.920,141.970
7,11,4,15,Be,-n,49825.821,165.797,4540.9708,11.0532B,20868.4411,167.1256,5 03490.215,177.990
8,12,4,16,Be,-nn,57447.139,165.797,4285.2851,10.3623B,20335.4399,167.6075,6 01672.036,177.990
7,12,5,17,B,x,43716.322,204.104,5269.6677,12.0061B,22684.4422,204.8410,7 06931.399,219.114
8,13,5,18,B,-n,51792.640,204.165,4976.6306,11.3425B,26873.3742,206.3572,8 05601.683,219.180
9,14,5,19,B,x,59770.251,525.363,4719.6346,27.6507B,27356.4961,534.4964,9 04166.000,564.000
10,15,5,20,B,-n,69401.569,546.357,4405.6529,27.3178B,31898.0019,593.0377,0 04505.644,586.538
11,16,5,21,B,-nn,78382.887,558.664,4152.5265,26.6031B,32740#,817#,1 04147.485,599.750
10,16,6,22,C,-nn,53611.203,231.490,5421.0778,10.5223B,21846.3983,311.0627,2 07553.990,248.515
11,17,6,23,C,x,64171#,997#,5077#,43#B,27450#1,082#,3 08890#1,070#
10,17,7,24,N,x,46938#,401#,5887#,17#B,28438#,433#,4 00390#,430#
11,18,7,25,N,x,55983#,503#,5613#,20#B,28654#,529#,5 00100#,540#
10,18,8,26,O,-nn,34661.041,164.950,6497.4790,6.3442B,15986.3855,196.6301,6 07210.155,177.081
11,19,8,27,O,x,44670#,500#,6185#,19#B,19536#,514#,7 07955#,537#
12,20,8,28,O,x,52080#,699#,5988#,25#B,18676#,709#,8 05910#,750#
11,20,9,29,F,x,40150.190,525.363,6444.0314,18.1160B,21750.3873,546.2212,9 03103.000,564.000
12,21,9,30,F,x,48960#,500#,6205#,17#B,25680#,561#,0 02561#,537#
13,22,9,31,F,-nn,56843#,535#,6011#,17#B,25661#,597#,1 01023#,574#
12,22,10,32,Ne,x,36999#,503#,6671#,16#B,18359#,504#,2 09720#,540#
13,23,10,33,Ne,x,46130#,600#,6436#,18#B,22350#,750#,3 09523#,644#
14,24,10,34,Ne,-nn,52842#,513#,6287#,15#B,21161#,789#,4 06728#,551#
13,24,11,35,Na,-n,37831#,670#,6745#,19#B,22192#,723#,5 00614#,720#
14,25,11,36,Na,-n,45903#,687#,6557#,19#B,25523#,974#,6 09279#,737#
15,26,11,37,Na,-nn,53134#,687#,6403#,19#B,24923#,980#,7 07042#,737#
