Z,A,El,mass_MeV,estimated
1,1,H,938.7830717162595,False
1,2,H,1876.1239204286833,False
1,3,H,2809.432116928087,False
2,3,He,2809.4135243058026,False
3,3,Li,2823.149038261976,True
1,4,H,3750.597531385991,False
2,4,He,3728.4013217021247,False
3,4,Li,3751.2995984909853,False
1,5,H,4690.362956782664,False
2,5,He,4668.701741421581,False
3,5,Li,4669.149398857321,False
4,5,Be,4694.609181963485,True
1,6,H,5630.840332436755,False
2,6,He,5606.556700359012,False
3,6,Li,5603.051488051605,False
4,6,Be,5607.339639781979,False
5,6,B,5636.284514922936,True
1,7,H,6569.594099348553,True
2,7,He,6546.531842337903,False
3,7,Li,6535.3658176034905,False
4,7,Be,6536.227710466578,False
5,7,B,6548.135269711103,False
2,8,He,7483.562494199279,False
3,8,Li,7472.898619305602,False
4,8,Be,7456.894488722747,False
5,8,B,7474.874383501421,False
6,8,C,7487.017079802219,False
2,9,He,8424.382743517532,False
3,9,Li,8408.40182576771,False
4,9,Be,8394.795370319429,False
5,9,B,8395.863402827383,False
6,9,C,8412.35789053563,False
2,10,He,9364.138164667544,False
3,10,Li,9347.993648608513,False
4,10,Be,9327.548508113083,False
5,10,B,9326.991632993833,False
6,10,C,9330.639689921847,False
7,10,N,9353.741051054914,False
3,11,Li,10287.16338352669,False
4,11,Be,10266.612294892047,False
5,11,B,10255.102828282075,False
6,11,C,10257.084516780385,False
7,11,N,10270.80076743852,False
8,11,O,10294.174031700088,False
3,12,Li,11226.938803855079,False
4,12,Be,11203.00698778488,False
5,12,B,11191.298619239218,False
6,12,C,11177.92922904,False
7,12,N,11195.267296437281,False
8,12,O,11209.942557533623,False
3,13,Li,12166.404222946185,False
4,13,Be,12143.082405103894,False
5,13,B,12125.985277971145,False
6,13,C,12112.548335819622,False
7,13,N,12114.768803516146,False
8,13,O,12132.538758154016,False
9,13,F,12151.453276855293,True
4,14,Be,13080.871935895573,False
5,14,B,13064.581119372817,False
6,14,C,13043.937319130164,False
7,14,N,13043.780846750838,False
8,14,O,13048.925209230274,False
9,14,F,13072.881830988421,False
4,15,Be,14022.237351452208,False
5,15,B,14001.368912091812,False
6,15,C,13982.284675165076,False
7,15,N,13972.512966692811,False
8,15,O,13975.267152565202,False
9,15,F,13988.978280005773,False
10,15,Ne,14012.626903238955,False
4,16,Be,14961.35277094927,False
5,16,B,14941.017332514279,False
6,16,C,14917.599766393203,False
7,16,N,14909.589541213438,False
8,16,O,14899.168627926492,False
9,16,F,14914.580812637141,False
10,16,Ne,14927.892412942241,False
5,17,B,15879.116054143375,False
6,17,C,15856.431620455605,False
7,17,N,15843.269813717116,False
8,17,O,15834.590971385574,False
9,17,F,15837.351435528215,False
10,17,Ne,15851.900190410506,False
11,17,Na,15870.1193208195,False
5,18,B,16818.686480564644,False
6,18,C,16791.813108583352,False
7,18,N,16780.00700767646,False
8,18,O,16766.11102523127,False
9,18,F,16767.76695161208,False
10,18,Ne,16772.211454627544,False
11,18,Na,16791.931827506705,False
5,19,B,17758.158196555883,False
6,19,C,17730.80169584343,False
7,19,N,17714.244192559152,False
8,19,O,17701.720794618697,False
9,19,F,17696.90049893749,False
10,19,Ne,17700.13999323724,False
11,19,Na,17711.317326310058,False
12,19,Mg,17730.226339881192,False
5,20,B,18699.28361265703,False
6,20,C,18667.385612448226,False
7,20,N,18651.64854122454,False
8,20,O,18633.6782128903,False
9,20,F,18629.86458288558,False
10,20,Ne,18622.840111339705,False
11,20,Na,18636.732535477426,False
12,20,Mg,18647.359737448292,False
5,21,B,19639.759032173508,False
6,21,C,19607.01936183858,True
7,21,N,19586.608062523886,False
8,21,O,19569.4381763868,False
9,21,F,19561.328542156425,False
10,21,Ne,19555.6443695297,False
11,21,Na,19559.191284828066,False
12,21,Mg,19572.279997224345,False
13,21,Al,19588.465862306577,True
6,22,C,20546.481455495737,False
7,22,N,20524.635049792156,False
8,22,O,20502.15328127625,False
9,22,F,20495.663627069276,False
10,22,Ne,20484.845534012,False
11,22,Na,20487.688854555054,False
12,22,Mg,20492.47026035748,False
13,22,Al,20511.071648001285,True
14,22,Si,20526.510231254797,True
6,23,C,21488.534984375714,True
7,23,N,21461.0847846715,False
8,23,O,21438.985720507575,False
9,23,F,21427.649614265003,False
10,23,Ne,21419.2103056419,False
11,23,Na,21414.83450031649,False
12,23,Mg,21418.890672755595,False
13,23,Al,21431.112424960866,False
14,23,Si,21448.31400052732,True
7,24,N,22402.796445900945,True
8,24,O,22374.358862448164,False
9,24,F,22363.402973468317,False
10,24,Ne,22349.90680692176,False
11,24,Na,22347.440555191373,False
12,24,Mg,22341.92487121789,False
13,24,Al,22355.809638474093,False
14,24,Si,22366.603643093877,False
15,24,P,22389.878485688583,True
7,25,N,23343.33535605544,True
8,25,O,23314.681582136433,False
9,25,F,23298.686719919897,False
10,25,Ne,23285.31705027245,False
11,25,Na,23277.994742802264,False
12,25,Mg,23274.15977226766,False
13,25,Al,23278.43657839987,False
14,25,Si,23291.179874153084,False
15,25,P,23307.542695169952,True
8,26,O,24253.507698195164,False
9,26,F,24237.521312574958,False
10,26,Ne,24219.32777030896,False
11,26,Na,24211.985873517802,False
12,26,Mg,24202.63211713435,False
13,26,Al,24206.636517131246,False
14,26,Si,24211.705652146968,False
15,26,P,24229.81966344651,True
16,26,S,24246.526941667515,True
8,27,O,25195.010565021552,True
9,27,F,25175.474236747148,False
10,27,Ne,25157.391672688504,False
11,27,Na,25144.8229668749,False
12,27,Mg,25135.75416385233,False
13,27,Al,25133.14389381876,False
14,27,Si,25137.95625317021,False
15,27,P,25149.681723947597,False
16,27,S,25167.83143010114,True
8,28,O,26133.9147030263,True
9,28,F,26115.238656130186,False
10,28,Ne,26093.134599157875,False
11,28,Na,26080.84655251733,False
12,28,Mg,26066.814916586,False
13,28,Al,26064.98413944722,False
14,28,Si,26060.342066532634,False
15,28,P,26074.687010505317,False
16,28,S,26085.9080679113,False
17,28,Cl,26110.104782274346,True
9,29,F,27053.479160476607,False
