# Z A M_true(MeV) n_oct Delta M_pred(MeV) err(%)
1 2 1876.123920 6 0.059316 1877.099463 0.051998
1 3 2809.432117 5 0.355129 2809.579178 0.005235
1 4 3750.597531 6 0.118595 3753.016748 0.064502
1 5 4690.362957 6 0.148295 4692.907913 0.054259
1 6 5630.840332 7 0.044460 5627.899109 0.052234
1 7 6569.594099 7 0.051926 6572.996655 0.051792
2 8 7483.562494 6 0.236216 7475.213168 0.111569
2 9 8424.382744 6 0.266148 8422.444559 0.023007
2 10 9364.138165 6 0.295402 9348.196938 0.170237
3 11 10287.163384 6 0.325059 10286.730743 0.004206
3 12 11226.938804 7 0.088694 11227.171699 0.002074
3 13 12166.404223 6 0.384511 12168.121081 0.014111
4 14 13080.871936 6 0.413406 13082.527188 0.012654
4 15 14022.237351 6 0.442795 14012.565633 0.068974
4 16 14961.352771 6 0.471621 14924.763437 0.244559
5 17 15879.116054 6 0.501852 15881.440496 0.014638
5 18 16818.686481 7 0.132961 16830.602678 0.070851
5 19 17758.158197 7 0.140538 17789.676038 0.177484
5 20 18699.283613 7 0.147611 18685.010993 0.076327
5 21 19639.759032 7 0.155321 19660.956076 0.107929
6 22 20546.481455 8 0.040578 20546.125248 0.001734
6 23 21488.534984 7 0.170259 21551.851540 0.294653
7 24 22402.796446 8 0.044234 22397.090360 0.025470
7 25 23343.335356 8 0.046161 23372.732078 0.125932
8 26 24253.507698 7 0.191404 24228.509684 0.103070
8 27 25195.010565 8 0.049761 25195.583696 0.002275
8 28 26133.914703 8 0.051664 26159.138185 0.096516
9 29 27053.479160 8 0.053315 26994.791909 0.216931
9 30 27993.783334 7 0.221278 28009.957206 0.057777
9 31 28933.159740 8 0.057138 28930.999282 0.007467
10 32 29844.810223 8 0.058922 29833.999668 0.036223
10 33 30785.435762 7 0.243192 30783.952878 0.004817
10 34 31723.641280 8 0.062667 31730.238079 0.020795
11 35 32640.125286 7 0.257783 32630.872344 0.028348
11 36 33579.690785 9 0.016580 33579.490872 0.000595
11 37 34518.416076 8 0.068217 34540.413784 0.063727
11 38 35458.681127 8 0.070045 35465.896340 0.020348
11 39 36398.246626 7 0.287749 36424.078960 0.070971
12 40 37309.313994 7 0.294892 37328.274004 0.050818
12 41 38249.358281 7 0.302093 38239.745308 0.025132
13 42 39164.742193 7 0.309372 39161.167553 0.009127
13 43 40102.516428 7 0.316800 40101.409149 0.002761
14 44 41015.050900 9 0.020240 40992.264310 0.055557
14 45 41954.324841 8 0.082818 41933.572233 0.049465
15 46 42871.568947 7 0.338750 42879.941400 0.019529
15 47 43809.032995 7 0.346151 43816.809328 0.017751
16 48 44724.106719 7 0.353606 44760.440143 0.081239
16 49 45663.602356 7 0.360657 45652.917221 0.023400
17 50 46582.404851 7 0.367950 46576.106491 0.013521
17 51 47520.489274 7 0.375416 47521.172254 0.001437
17 52 48460.052910 7 0.383037 48485.847054 0.053228
18 53 49375.978020 8 0.097393 49313.133562 0.127277
18 54 50313.241797 7 0.397507 50317.568348 0.008599
19 55 51232.646038 7 0.404890 51252.162769 0.038094
19 56 52171.649845 7 0.411949 52145.669485 0.049798
19 57 53109.293672 7 0.419694 53126.057093 0.031564
19 58 54048.588106 8 0.106769 54060.464531 0.021974
19 59 54986.901677 8 0.108586 54980.466502 0.011703
20 60 55900.646159 7 0.440685 55783.135617 0.210213
20 61 56840.150179 7 0.449172 56857.384677 0.030321
21 62 57759.944716 8 0.113973 57708.006280 0.089921
21 63 58697.198246 7 0.463214 58634.871603 0.106183
22 64 59614.142411 8 0.117633 59561.199640 0.088809
22 65 60552.326504 8 0.119704 60609.723137 0.094788
23 66 61472.311065 9 0.030370 61508.187149 0.058361
23 67 62408.361105 8 0.123275 62418.113226 0.015626
24 68 63325.908878 7 0.500099 63303.909329 0.034740
24 69 64263.463281 9 0.031687 64175.682173 0.136596
24 70 65198.946973 7 0.515001 65190.314798 0.013240
25 71 66119.461554 8 0.130499 66075.684760 0.066209
25 72 67056.405828 9 0.033106 67050.204791 0.009247
25 73 67992.369240 8 0.134213 67956.072358 0.053384
26 74 68909.903971 8 0.136280 69002.812188 0.134826
26 75 69847.357773 7 0.551455 69804.725880 0.061036
26 76 70782.961627 8 0.139724 70746.784016 0.051111
27 77 71703.136214 9 0.035315 71524.645619 0.248930
27 78 72641.219705 8 0.143495 72656.020859 0.020376
28 79 73559.874093 8 0.145283 73561.391465 0.002063
28 80 74496.288347 8 0.147079 74470.557478 0.034540
28 81 75434.932598 8 0.149238 75563.978640 0.171069
28 82 76371.796764 8 0.150758 76333.252561 0.050469
29 83 77293.620095 9 0.038228 77423.318618 0.167800
29 84 78231.784627 8 0.154444 78199.807437 0.040875
30 85 79151.898666 9 0.039088 79165.569024 0.017271
30 86 80088.431220 9 0.039530 80061.851037 0.033189
31 87 81011.117114 8 0.159918 80971.668533 0.048695
31 88 81949.090689 9 0.040443 81909.758434 0.047996
32 89 82869.935020 8 0.163718 82895.552834 0.030913
32 90 83805.999032 9 0.041371 83789.414472 0.019789
33 91 84729.463655 8 0.167976 85051.444799 0.380011
33 92 85667.077674 8 0.170259 86207.406160 0.630731
34 93 86588.091536 9 0.042890 86866.936272 0.322036
34 94 87523.642295 10 0.010799 87483.924643 0.045379
34 95 88461.479873 8 0.174517 88363.298125 0.110988
35 96 89385.223944 9 0.044234 89588.361442 0.227261
35 97 90320.927469 8 0.178631 90446.362842 0.138877
35 98 91258.371955 9 0.045123 91389.139436 0.143294
36 99 92179.516227 8 0.182026 92165.306040 0.015416
36 100 93114.940303 9 0.046161 93490.928311 0.403789
36 101 94052.324242 10 0.011623 94162.270761 0.116899
37 102 94975.146135 9 0.046845 94876.858859 0.103487
37 103 95910.732291 10 0.011834 95874.274714 0.038012
37 104 96847.936452 8 0.191404 96914.038734 0.068254
38 105 97768.690427 8 0.192975 97709.028234 0.061024
38 106 98704.074449 9 0.048718 98669.953599 0.034569
38 107 99641.618606 9 0.049277 99802.288057 0.161247
39 108 100564.583017 9 0.049659 100575.307187 0.010664
39 109 101500.376896 9 0.050218 101707.133117 0.203700
40 110 102422.131296 10 0.012655 102521.927923 0.097437
40 111 103359.365265 10 0.012774 103482.814278 0.119437
40 112 104294.919750 10 0.012866 104231.761925 0.060557
40 113 105232.493715 9 0.051926 105167.946483 0.061338
41 114 106155.367771 10 0.013150 106531.380020 0.354209
41 115 107090.941817 9 0.052933 107206.148507 0.107578
41 116 108028.085431 9 0.053315 107979.167638 0.045282
42 117 108949.120718 9 0.053712 108783.516888 0.152001
42 118 109883.933734 8 0.217020 109883.936862 0.000003
42 119 110821.218004 8 0.217704 110230.419499 0.533110
43 120 111744.292331 9 0.055058 111510.797768 0.208954
43 121 112679.246003 8 0.222494 112655.797958 0.020810
43 122 113615.975102 8 0.224245 113542.272825 0.064870
44 123 114537.224632 10 0.014146 114604.015837 0.058314
44 124 115471.679023 9 0.057008 115459.065011 0.010924
44 125 116408.393218 10 0.014344 116202.646271 0.176746
45 126 117331.056756 10 0.014480 117305.187105 0.022048
45 127 118266.020674 8 0.233600 118278.809580 0.010814
45 128 119203.904826 8 0.235576 119279.504611 0.063421
46 129 120124.859073 9 0.059316 120134.365624 0.007914
46 130 121061.503406 8 0.239074 121050.670676 0.008948
46 131 121999.987440 8 0.241203 122128.616658 0.105434
47 132 122922.821442 8 0.242983 123029.738983 0.086979
47 133 123859.635307 9 0.061167 123882.021891 0.018074
48 134 124780.749771 9 0.061599 124758.211072 0.018063
48 135 125718.883563 8 0.248231 125687.125106 0.025261
49 136 126642.228024 8 0.250056 126611.078805 0.024596
49 137 127578.862111 8 0.252002 127596.361949 0.013717
50 138 128500.676127 8 0.254012 128614.252533 0.088386
50 139 129438.370254 8 0.255349 129291.367648 0.113570
50 140 130374.683907 8 0.257783 130523.489376 0.114137
51 141 131301.128380 9 0.064793 131225.886964 0.057304
51 142 132238.552373 9 0.065255 132162.071522 0.057836
52 143 133163.126406 10 0.016429 133098.256081 0.048715
52 144 134098.930532 10 0.016580 134317.963486 0.163337
52 145 135036.634905 8 0.266482 134927.936143 0.080496
53 146 135962.598727 9 0.067074 135845.655459 0.086011
53 147 136898.432661 8 0.270406 136915.004903 0.012106
54 148 137822.477605 8 0.271929 137686.240366 0.098850
54 149 138759.621219 8 0.274158 138814.936143 0.039864
54 150 139695.125404 8 0.274664 139070.896867 0.446851
55 151 140621.329551 9 0.069513 140785.639379 0.116846
55 152 141557.973884 10 0.017494 141721.823937 0.115748
56 153 142482.127813 8 0.280699 142126.789469 0.249392
56 154 143417.171840 8 0.283061 143322.625398 0.065924
57 155 144343.655435 8 0.284957 144282.681434 0.042242
57 156 145280.029635 8 0.286832 145231.862241 0.033155
57 157 146215.504012 8 0.289144 146402.471061 0.127871
58 158 147139.528463 8 0.290612 147145.772542 0.004244
58 159 148076.222166 9 0.073058 147965.319786 0.074895
59 160 149002.856663 8 0.294290 149008.169165 0.003565
59 161 149938.060907 9 0.074124 150125.288703 0.124870
60 162 150863.034551 9 0.074501 150889.520996 0.017557
60 163 151799.459051 10 0.018738 151799.458531 0.000000
61 164 152726.672938 8 0.301561 152689.494735 0.024343
61 165 153661.856689 8 0.303289 153564.824548 0.063147
62 166 154587.570870 9 0.076416 154766.454654 0.115717
62 167 155524.185396 10 0.019196 155511.581139 0.008104
62 168 156459.369146 9 0.077315 156588.887642 0.082781
63 169 157386.842920 8 0.310716 157325.026503 0.039277
63 170 158323.137012 9 0.078152 158283.313467 0.025153
64 171 159249.281544 8 0.314111 159043.969702 0.128925
64 172 160184.015382 8 0.316423 160214.578522 0.019080
65 173 161111.969807 8 0.318016 161021.605727 0.056088
65 174 162048.004012 9 0.080028 162083.494336 0.021901
66 175 162974.738180 9 0.080405 162845.635771 0.079216
66 176 163909.351856 10 0.020228 163875.186398 0.020844
67 177 164838.176296 10 0.020350 164862.817566 0.014949
67 178 165773.820205 8 0.327371 165758.300715 0.009362
68 179 166701.364772 9 0.082286 166656.342948 0.027007
68 180 167635.758616 8 0.330993 167591.943142 0.026137
69 181 168564.992913 9 0.083200 168507.308061 0.034221
69 182 169500.436551 9 0.083684 169487.354786 0.007718
70 183 170428.420783 8 0.336467 170363.804239 0.037914
70 184 171362.314415 8 0.338750 171519.765601 0.091882
70 185 172297.928516 9 0.085073 172300.177477 0.001305
71 186 173227.582917 8 0.341666 172996.034600 0.133667
71 187 174161.627450 8 0.343949 174151.995962 0.005530
71 188 175097.071088 8 0.346151 175267.237314 0.097184
72 189 176025.235099 8 0.347722 176062.226813 0.021015
72 190 176959.079361 8 0.348789 176602.784992 0.201343
73 191 177888.853925 8 0.351405 177927.386096 0.021661
73 192 178823.767542 8 0.353606 179041.760571 0.121904
73 193 179757.552189 8 0.355129 179813.067381 0.030883
73 194 180692.725693 9 0.089189 180637.158224 0.030752
74 195 181620.610256 8 0.358851 181697.617836 0.042400
74 196 182554.104276 8 0.360657 182611.668882 0.031533
74 197 183489.467805 10 0.022662 183592.558689 0.056184
75 198 184418.841827 8 0.364099 184354.494340 0.034892
75 199 185352.596665 8 0.366380 185509.436463 0.084617
76 200 186280.270710 8 0.367950 186304.425963 0.012967
76 201 187215.474954 8 0.369573 187126.355437 0.047603
76 202 188149.278230 8 0.371605 188155.391076 0.003249
76 203 189086.032480 8 0.373430 189079.344775 0.003537
77 204 190015.226723 8 0.375277 190014.475174 0.000396
77 205 190950.690854 8 0.376938 190855.605395 0.049796
78 206 191878.544677 9 0.094777 191954.129836 0.039392
78 207 192815.139641 8 0.380927 192875.400674 0.031253
78 208 193750.273091 8 0.383037 193943.388218 0.099672
79 209 194680.037409 8 0.384511 194689.937294 0.005085
79 210 195616.441417 10 0.024183 195914.876747 0.152561
80 211 196544.865315 8 0.388131 196522.942424 0.011154
80 212 197479.769617 9 0.097393 197252.534249 0.115068
80 213 198416.443758 10 0.024489 198394.032686 0.011295
80 214 199351.508277 8 0.393518 199250.478113 0.050679
80 215 200288.341704 8 0.396134 200575.079216 0.143162
80 216 201223.646549 8 0.397507 201270.273392 0.023172
81 217 202152.879915 8 0.399294 202175.057445 0.010971
81 218 203089.424578 9 0.100312 203164.744915 0.037087
82 219 204017.827983 8 0.403265 204185.587368 0.082228
82 220 204952.832887 8 0.404890 205008.651077 0.027235
83 221 205884.396852 9 0.101609 205791.780326 0.044985
83 222 206820.640642 8 0.408371 206771.008501 0.023998
83 223 207755.424782 8 0.410315 207755.495679 0.000034
83 224 208691.748681 8 0.411949 208582.677940 0.052264
84 225 209620.752900 8 0.414051 209647.067049 0.012553
84 226 210555.215674 8 0.415720 210491.914783 0.030064
84 227 211491.441767 8 0.418032 211662.523603 0.080893
85 228 212422.535327 8 0.419694 212504.228373 0.038458
85 229 213357.039086 8 0.421264 213299.217872 0.027101
86 230 214285.813226 10 0.026433 214140.348175 0.067884
86 231 215221.687214 8 0.425218 215301.117553 0.036906
87 232 216152.704587 9 0.106769 216241.858123 0.041246
87 233 217087.045913 9 0.107432 217584.611817 0.229201
88 234 218016.550595 8 0.431172 218315.908204 0.137310
88 235 218952.243780 8 0.432860 219170.635544 0.099744
89 236 219883.829169 9 0.108586 219921.866007 0.017299
89 237 220818.122411 8 0.436167 220844.839747 0.012099
90 238 221748.121465 8 0.438223 221885.816516 0.062095
90 239 222683.590253 9 0.109966 222716.383297 0.014726
91 240 223615.594814 8 0.440685 223132.542466 0.216019
91 241 224549.819126 8 0.442795 224201.050127 0.155319
92 242 225480.192641 9 0.111246 225309.446775 0.075725
92 243 226415.546855 10 0.027934 226304.721401 0.048948
93 244 227347.801057 8 0.449172 227429.538709 0.035953
93 245 228281.905205 9 0.112631 228113.533262 0.073756
94 246 229212.943966 9 0.113073 229009.815274 0.088620
94 247 230148.253310 8 0.453835 229790.753717 0.155334
95 248 231081.099941 9 0.113973 230832.025121 0.107787
95 249 232015.135160 9 0.114505 231909.971103 0.045326
96 250 232946.515191 9 0.115017 232946.394146 0.000052
96 251 233881.667681 8 0.462266 234059.613964 0.076084
96 252 234815.569714 8 0.463214 234539.486411 0.117575
97 253 235748.936120 8 0.465661 235778.557162 0.012565
97 254 236683.895380 8 0.467557 236738.889156 0.023235
98 255 237615.804929 9 0.117494 237963.943192 0.146513
98 256 238549.530891 8 0.471482 238726.001152 0.073976
99 257 239483.388194 8 0.471621 238796.214994 0.286940
99 258 240418.180717 8 0.475040 240527.289856 0.045383
100 259 241350.677108 9 0.119171 241360.946566 0.004255
100 260 242284.232606 9 0.119704 242438.892548 0.063834
101 261 243218.538889 8 0.480707 243397.100407 0.073416
101 262 244153.121826 10 0.030117 243982.896698 0.069721
102 263 245086.078375 10 0.030267 245204.638215 0.048375
102 264 246019.454095 10 0.030370 246032.748595 0.005404
103 265 246954.170236 9 0.121800 246684.951975 0.109015
103 266 247889.093168 10 0.030572 247673.733246 0.086878
104 267 248822.369218 8 0.490911 248563.611675 0.103993
104 268 249755.894909 9 0.123275 249672.452903 0.033409
105 269 250691.061893 8 0.494900 250583.406954 0.042943
105 270 251625.805047 9 0.124262 251671.855778 0.018301
106 271 252559.518900 8 0.499389 252856.321988 0.117518
106 272 253492.916045 8 0.500099 253215.637316 0.109383
106 273 254427.810101 9 0.125578 254336.132104 0.036033
107 274 255363.145685 9 0.125698 254579.302860 0.306952
107 275 256296.658335 9 0.126574 256354.291058 0.022487
107 276 257231.322312 10 0.031687 256702.728690 0.205493
107 277 258164.966302 9 0.127533 258296.020760 0.050764
107 278 259099.730881 9 0.127883 259004.334628 0.036818
108 279 260033.354379 9 0.128314 259877.707274 0.059857
108 280 260966.768290 9 0.128888 261040.210170 0.028142
109 281 261902.242667 10 0.032400 262479.171053 0.220284
109 282 262836.792070 9 0.129816 262919.866207 0.031607
110 283 263770.660551 9 0.130345 263991.238430 0.083625
110 284 264703.784768 9 0.130499 264302.739041 0.151507
111 285 265639.548840 8 0.524017 265326.162873 0.117974
111 286 266573.823452 8 0.526479 266572.888824 0.000351
112 287 267508.177241 9 0.132085 267514.654645 0.002421
112 288 268441.231596 8 0.530468 268592.684103 0.056419
113 289 269377.345909 9 0.132961 269289.642843 0.032558
113 290 270311.604686 9 0.133423 270225.519666 0.031847
114 291 271246.283567 9 0.134074 271543.434064 0.109550
115 292 272182.877600 9 0.134397 272197.089926 0.005222
116 293 273118.339867 8 0.539629 273231.100075 0.041286
117 294 274055.662328 9 0.135291 274007.310594 0.017643
118 295 274992.128746 9 0.135735 274907.954946 0.030610
