# Z A M_true(MeV) n Delta M_pred(MeV) err(%)
0 1 101.220728 1 3.274197 101.185774 0.034533
1 2 190.119602 5 0.024032 190.125561 0.003134
1 3 285.083101 1 9.222267 285.004933 0.027419
1 4 378.588887 2 3.061859 378.494824 0.024846
1 5 470.694675 2 3.808713 470.817877 0.026175
1 6 563.512422 3 1.140234 563.804875 0.051898
1 7 6546.066421 6 0.206881 6546.883171 0.012477
2 8 748.860141 2 6.048909 747.741879 0.149329
2 9 842.020754 2 6.811338 841.990318 0.003615
2 10 2.622441 -2 5.434451 2.624160 0.065569
3 11 96.617904 1 3.124703 96.565830 0.053896
3 12 188.733692 3 0.381825 188.798671 0.034429
3 13 280.539479 2 2.269131 280.500900 0.013752
4 14 375.292379 2 3.037336 375.463314 0.045547
4 15 468.998166 3 0.948245 468.872903 0.026709
4 16 560.453953 4 0.283299 560.323771 0.023228
5 17 658.502429 3 1.332136 658.693515 0.029018
5 18 750.413217 2 6.069596 750.299237 0.015189
5 19 842.225297 2 6.811338 841.990318 0.027900
5 20 4.196981 -1 2.173111 4.197364 0.009130
5 21 97.012768 1 3.141786 97.093758 0.083484
6 22 193.335318 2 1.563859 193.318033 0.008940
6 23 2877.293064 4 1.454379 2876.552941 0.025723
7 24 372.960924 2 3.017135 372.966181 0.001410
7 25 465.840201 3 0.941974 465.772088 0.014622
8 26 565.612678 3 1.143968 565.651208 0.006812
8 27 659.455907 2 5.336232 659.643600 0.028462
8 28 750.700412 2 6.076000 751.090852 0.052010
9 29 841.235118 2 6.811338 841.990318 0.089773
9 30 2.385556 -2 4.942057 2.386396 0.035195
9 31 94.102329 1 3.046618 94.152669 0.053495
10 32 195.352943 2 1.579565 195.259466 0.047850
10 33 288.318849 1 9.326942 288.239801 0.027417
10 34 378.864733 2 3.064351 378.802766 0.016356
11 35 466.318989 2 3.769773 466.004290 0.067486
11 36 567.539795 2 4.589437 567.327871 0.037341
11 37 658.605453 3 1.332136 658.693515 0.013371
11 38 751.210871 2 6.076000 751.090852 0.015977
11 39 843.116736 4 0.426283 843.125697 0.001063
12 40 2.975192 -2 6.160407 2.974707 0.016318
12 41 95.359846 1 3.085891 95.366384 0.006856
13 42 191.028948 3 0.386389 191.055384 0.013839
13 43 281.143550 1 9.100748 281.249513 0.037690
14 44 373.963211 3 0.756742 374.181751 0.058439
14 45 474.892460 4 0.240163 475.008794 0.024497
15 46 563.106815 2 4.554847 563.051917 0.009749
15 47 652.911230 2 5.280609 652.767701 0.021983
16 48 748.270144 2 6.048909 747.741879 0.070598
16 49 840.106148 2 6.796569 840.164625 0.006961
17 50 7.699730 0 0.996569 7.699490 0.003124
17 51 98.124520 1 3.174316 98.099069 0.025938
17 52 190.028523 3 0.384258 190.001545 0.014196
18 53 286.238823 3 0.579416 286.500277 0.091341
18 54 375.842966 1 12.163116 375.888948 0.012234
19 55 466.217456 2 3.769773 466.004290 0.045722
19 56 566.876571 3 1.146498 566.901744 0.004441
19 57 656.860765 3 1.328363 656.827472 0.005068
19 58 748.495566 2 6.048909 747.741879 0.100694
19 59 839.149503 3 1.697187 839.197697 0.005743
20 60 1.685073 -1 0.872417 1.685074 0.000090
20 61 93.529460 2 0.756742 93.545438 0.017083
21 62 193.609186 2 1.566458 193.639310 0.015559
21 63 283.203083 2 2.290032 283.084617 0.041831
22 64 371.117497 2 2.999556 370.793119 0.087406
22 65 470.956898 4 0.238115 470.956469 0.000091
23 66 552.596767 2 4.470404 552.613479 0.003024
23 67 650.302115 4 0.328825 650.368115 0.010149
24 68 738.820136 3 1.494062 738.759846 0.008160
24 69 838.029847 2 6.779626 838.070219 0.004817
24 70 925.853906 4 0.468101 925.836029 0.001931
25 71 85.844633 3 0.173642 85.859873 0.017753
25 72 184.444216 2 1.493104 184.571539 0.069031
25 73 272.747994 1 8.829102 272.854575 0.039077
26 74 370.567915 4 0.187371 370.592113 0.006530
26 75 460.362084 2 3.722631 460.176737 0.040261
26 76 557.621246 6 0.017609 557.242447 0.067931
27 77 648.766081 5 0.082016 648.866151 0.015425
27 78 739.189939 3 1.494062 738.759846 0.058184
28 79 838.129517 2 6.779626 838.070219 0.007075
28 80 926.884138 3 1.875517 927.375473 0.053009
28 81 86.374654 1 2.797513 86.454348 0.092266
28 82 184.894127 2 1.496684 185.014079 0.064876
29 83 277.687707 1 8.991014 277.858298 0.061433
29 84 368.192605 4 0.186153 368.184376 0.002235
30 85 459.276893 2 3.715942 459.349929 0.015902
30 86 557.464755 6 0.017609 557.242447 0.039878
31 87 651.120898 3 1.316803 651.111754 0.001404
31 88 741.434840 3 1.498941 741.172260 0.035415
32 89 833.249419 2 6.742164 833.439299 0.022788
32 90 930.968740 3 1.882123 930.641844 0.035113
33 91 84.594568 1 2.737631 84.603745 0.010847
33 92 183.863895 1 5.948408 183.829608 0.018648
34 93 275.848006 3 0.557772 275.798023 0.018120
34 94 363.739132 3 0.735844 363.848446 0.030053
34 95 463.232017 2 3.746636 463.144183 0.018961
35 96 557.946337 6 0.017609 557.242447 0.126157
35 97 645.990229 4 0.327157 647.069590 0.167086
35 98 745.090023 4 0.376729 745.115139 0.003371
