# Z A M_true(MeV) n_oct Delta M_pred(MeV) err(%)
1 2 1876.123920 4 0.948245 1875.491612 0.033703
1 3 2809.432117 3 5.682586 2809.834036 0.014306
1 4 3750.597531 4 1.896492 3750.987108 0.010387
1 5 4690.362957 4 2.371892 4691.260335 0.019132
1 6 5630.840332 4 2.846703 5630.368718 0.008376
1 7 6569.594099 5 0.830392 6569.584322 0.000149
2 8 7483.562494 4 3.785361 7486.898604 0.044579
2 9 8424.382744 5 1.064824 8424.273793 0.001293
2 10 9364.138165 5 1.184305 9369.535828 0.057642
3 11 10287.163384 4 5.200321 10285.486913 0.016297
3 12 11226.938804 4 5.682586 11239.336143 0.110425
3 13 12166.404223 8 0.024032 12168.035936 0.013412
4 14 13080.871936 5 1.653545 13081.893865 0.007812
4 15 14022.237351 6 0.443029 14019.954819 0.016278
4 16 14961.352771 5 1.890935 14959.991572 0.009098
5 17 15879.116054 5 2.006934 15877.709722 0.008856
5 18 16818.686481 5 2.126315 16822.176848 0.020753
5 19 17758.158197 6 0.561022 17753.945522 0.023722
5 20 18699.283613 6 0.590696 18692.974177 0.033742
5 21 19639.759032 5 2.481880 19635.202687 0.023200
6 22 20546.481455 6 0.649909 20566.837990 0.099076
6 23 21488.534984 6 0.678777 21480.361955 0.038034
7 24 22402.796446 7 0.176890 22391.206383 0.051735
7 25 23343.335356 5 2.951827 23353.152345 0.042055
8 26 24253.507698 5 3.064351 24243.377047 0.041770
8 27 25195.010565 5 3.184836 25196.587167 0.006258
8 28 26133.914703 5 3.301130 26116.642891 0.066090
9 29 27053.479160 5 3.419718 27054.836891 0.005019
9 30 27993.783334 7 0.221069 27983.528084 0.036634
9 31 28933.159740 5 3.658211 28941.660407 0.029380
10 32 29844.810223 5 3.769773 29824.274565 0.068808
10 33 30785.435762 5 3.890670 30780.741501 0.015248
10 34 31723.641280 5 4.005972 31692.945192 0.096761
11 35 32640.125286 5 4.126620 32647.441393 0.022414
11 36 33579.690785 6 1.061535 33593.019695 0.039693
11 37 34518.416076 5 4.364593 34530.149442 0.033992
11 38 35458.681127 5 4.483436 35470.364874 0.032950
11 39 36398.246626 6 1.150000 36392.552077 0.015645
12 40 37309.313994 5 4.719746 37339.915331 0.082021
12 41 38249.358281 6 1.207946 38226.299780 0.060285
13 42 39164.742193 6 1.237538 39162.739976 0.005112
13 43 40102.516428 6 1.266921 40092.602550 0.024721
14 44 41015.050900 5 5.183379 41007.905651 0.017421
14 45 41954.324841 6 1.326388 41974.462027 0.047998
15 46 42871.568947 6 1.354791 42873.311376 0.004064
15 47 43809.032995 7 0.346137 43815.030295 0.013690
16 48 44724.106719 6 1.413605 44734.524347 0.023293
16 49 45663.602356 7 0.360763 45666.379208 0.006081
17 50 46582.404851 7 0.367862 46565.016721 0.037328
17 51 47520.489274 5 6.009226 47541.534473 0.044287
17 52 48460.052910 6 1.531214 48456.331901 0.007679
18 53 49375.978020 6 1.560220 49374.250376 0.003499
18 54 50313.241797 6 1.589881 50312.896593 0.000686
19 55 51232.646038 6 1.619364 51245.887186 0.025845
19 56 52171.649845 6 1.648191 52158.157127 0.025862
19 57 53109.293672 6 1.678429 53115.061961 0.010861
19 58 54048.588106 7 0.426900 54038.179603 0.019258
19 59 54986.901677 7 0.434471 54996.603684 0.017644
20 60 55900.646159 5 7.065524 55898.357032 0.004095
20 61 56840.150179 5 7.190743 56889.014588 0.085968
21 62 57759.944716 6 1.825223 57760.442855 0.000862
21 63 58697.198246 8 0.115872 58669.462150 0.047253
22 64 59614.142411 6 1.882123 59561.078020 0.089013
22 65 60552.326504 6 1.913434 60551.961724 0.000602
23 66 61472.311065 6 1.942501 61471.808752 0.000817
23 67 62408.361105 7 0.493037 62409.979999 0.002594
24 68 63325.908878 5 8.003917 63322.380518 0.005572
24 69 64263.463281 7 0.507502 64241.050729 0.034876
24 70 65198.946973 6 2.059983 65189.610910 0.014319
25 71 66119.461554 5 8.354014 66092.148858 0.041308
25 72 67056.405828 5 8.468016 66994.063069 0.092971
25 73 67992.369240 5 8.589423 67954.565132 0.055601
26 74 68909.903971 5 8.713800 68938.567416 0.041596
26 75 69847.357773 5 8.829102 69850.771107 0.004887
26 76 70782.961627 7 0.559304 70798.311600 0.021686
27 77 71703.136214 7 0.566320 71686.361982 0.023394
27 78 72641.219705 6 2.299176 72759.020316 0.162168
28 79 73559.874093 5 9.296625 73549.544668 0.014042
28 80 74496.288347 6 2.354444 74508.011383 0.015736
28 81 75434.932598 6 2.384177 75448.941881 0.018571
28 82 76371.796764 6 2.410929 76295.529693 0.099863
29 83 77293.620095 6 2.442764 77302.954539 0.012077
29 84 78231.784627 6 2.469913 78162.114014 0.089057
30 85 79151.898666 7 0.625492 79176.564932 0.031163
30 86 80088.431220 7 0.632732 80092.997326 0.005701
31 87 81011.117114 6 2.558066 80951.769300 0.073259
31 88 81949.090689 6 2.591064 81996.014578 0.057260
32 89 82869.935020 6 2.618857 82875.551793 0.006778
32 90 83805.999032 6 2.648704 83820.091198 0.016815
33 91 84729.463655 6 2.677550 84732.934179 0.004096
33 92 85667.077674 6 2.707315 85674.857023 0.009081
34 93 86588.091536 6 2.736269 86591.126347 0.003505
34 94 87523.642295 7 0.691171 87490.385350 0.037998
34 95 88461.479873 6 2.797513 88529.252758 0.076613
35 96 89385.223944 6 2.819629 89229.136154 0.174624
35 97 90320.927469 6 2.852278 90262.318350 0.064890
35 98 91258.371955 6 2.883261 91242.815557 0.017047
36 99 92179.516227 6 2.912425 92165.723166 0.014963
36 100 93114.940303 7 0.735844 93145.202236 0.032500
36 101 94052.324242 6 2.971195 94025.547841 0.028470
37 102 94975.146135 6 2.999556 94923.038450 0.054865
37 103 95910.732291 6 3.031393 95930.555607 0.020669
37 104 96847.936452 6 3.061859 96894.674868 0.048260
38 105 97768.690427 6 3.088237 97729.416968 0.040170
38 106 98704.074449 6 3.117065 98641.683522 0.063210
38 107 99641.618606 7 0.787046 99626.423816 0.015249
39 108 100564.583017 6 3.174316 100453.446328 0.110513
39 109 101500.376896 5 12.827047 101480.206433 0.019872
40 110 102422.131296 6 3.240005 102532.225009 0.107490
40 111 103359.365265 8 0.204083 103333.419759 0.025102
40 112 104294.919750 6 3.295628 104292.455203 0.002363
40 113 105232.493715 7 0.831218 105217.830196 0.013934
41 114 106155.367771 6 3.355179 106176.987033 0.020366
41 115 107090.941817 6 3.384039 107090.280174 0.000618
41 116 108028.085431 8 0.213332 108016.863273 0.010388
42 117 108949.120718 6 3.440032 108862.214023 0.079768
42 118 109883.933734 6 3.472464 109888.549387 0.004200
42 119 110821.218004 7 0.875679 110845.870394 0.022245
43 120 111744.292331 6 3.530884 111737.291770 0.006265
43 121 112679.246003 6 3.560929 112688.081770 0.007842
43 122 113615.975102 6 3.588122 113548.618909 0.059284
44 123 114537.224632 6 3.621715 114611.681857 0.065007
44 124 115471.679023 6 3.649188 115481.097987 0.008157
44 125 116408.393218 6 3.678087 116395.629045 0.010965
45 126 117331.056756 6 3.706288 117288.078273 0.036630
45 127 118266.020674 7 0.934386 118277.134628 0.009397
45 128 119203.904826 7 0.941545 119183.365969 0.017230
