i,sqrt_lambda,eps0,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10,eps11,eps12,eps13,eps14
1,0.066136959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.104861556,0,-1,0,0,0,1,0,0,-1,-1,1,0,0,0,0
3,0.105819546,1,0,-1,-1,0,0,0,0,-1,0,0,-1,0,0,1
4,0.135301931,1,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0
5,0.171977681,0,1,0,-1,0,0,-1,1,0,0,-1,1,0,0,0
6,0.19328651,0,-1,0,1,-1,0,1,0,0,0,0,1,-1,0,0
7,0.217318285,-1,0,1,-1,0,0,0,0,0,0,1,0,0,1,-1
8,0.251706536,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0
9,0.28175138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.308944245,-1,-1,0,1,-1,0,0,0,0,0,-1,0,1,0,0
11,0.3425369,-1,0,1,1,0,1,1,0,0,0,0,0,-1,0,0
12,0.360145691,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,1,0
13,0.389044757,0,-1,0,-1,0,1,1,-1,0,0,0,0,0,0,0
14,0.426899914,1,0,0,1,0,0,0,1,0,-1,0,0,0,0,0
15,0.539423867,0,0,0,0,0,1,0,0,-1,-1,1,0,-1,1,0
16,0.555869353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,0.611492405,-1,0,0,0,1,1,-1,0,0,0,0,1,-1,0,0
18,0.628435246,0,0,1,0,0,0,1,0,1,0,0,-1,0,0,0
19,0.726794491,-1,0,0,0,-1,1,0,1,0,0,1,0,0,-1,0
20,0.783638283,0,1,0,-1,0,0,0,1,-1,0,-1,0,0,1,0
21,0.868248673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,0.894790972,0,0,0,-1,1,-1,1,0,0,0,0,0,-1,1,0
23,0.895000741,1,-1,0,1,1,0,0,1,0,0,-1,0,0,0,0
24,1.181361718,1,1,-1,0,-1,0,-1,0,0,0,0,0,0,1,0
25,1.3882424,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1
26,1.459652785,0,-1,0,1,0,1,1,0,0,0,0,0,0,1,-1
27,1.504114125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,1.582953046,1,0,0,-1,0,-1,0,1,1,0,0,0,0,0,0
29,1.725183114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,1.831271203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,1.841477693,1,0,0,1,0,0,0,0,0,-1,1,0,-1,1,0
32,1.891359664,0,0,0,0,0,0,-1,-1,0,0,0,1,1,1,-1
33,2.01742448,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,2.092834951,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,2.30459896,1,0,0,0,-1,1,0,1,0,0,0,0,0,0,0
36,2.524926754,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,2.91131562,0,1,1,0,1,0,1,1,0,0,-1,0,0,0,0
38,3.157658906,-1,-1,1,0,1,0,0,0,0,0,-1,0,0,1,0
39,3.158280845,-1,0,0,1,1,0,-1,0,0,0,0,0,0,-1,1
40,3.279177783,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,3.289042432,0,0,1,0,-1,-1,0,0,0,0,1,0,0,-1,1
42,3.851497776,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,4.571886169,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,4.72473915,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,4.755055358,0,-1,-1,0,-1,0,0,0,0,1,0,0,1,0,0
46,5.943089,-1,0,0,0,0,1,-1,0,0,0,1,0,-1,0,1
47,7.408061012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,8.102307717,-1,0,-1,0,0,0,0,0,0,0,1,-1,1,1,0
