k,D,a,b,err,approx
0,910,599,-381,8.878793266438997e-11,0.06613695905038544
0,793,406,-250,1.6863381967793706e-08,0.06613696015980608
0,676,213,-119,3.944456566477342e-08,0.0661369616532569
0,559,20,12,7.147833874004612e-08,0.06613696377187324
0,117,193,-131,1.1360568260998938e-07,0.0661369515309789
0,234,386,-262,1.1360568260998938e-07,0.0661369515309789
0,351,579,-393,1.1360568260998938e-07,0.0661369515309789
0,939,-167,162,1.1977527557401942e-07,0.06613695112294078
0,442,-173,143,1.204711678407072e-07,0.06613696701210997
0,884,-346,286,1.204711678407072e-07,0.06613696701210997
0,822,-360,293,1.206534286714904e-07,0.0661369510648624
0,705,-553,424,1.2182305452253492e-07,0.06613695098750691
0,767,-539,417,1.5617780485006343e-07,0.06613696937363836
0,325,-366,274,2.047388325592995e-07,0.06613697258531706
0,972,613,-388,2.1168151092104618e-07,0.0661369730444847
0,965,778,-505,2.2682352259900863e-07,0.06613694404309525
0,848,585,-374,2.424443802587987e-07,0.06613694300997923
0,855,420,-257,2.561944943028177e-07,0.06613697598843805
0,731,392,-243,2.6306562176205276e-07,0.06613694164615302
0,614,199,-112,2.915457724752816e-07,0.06613693976256246
0,738,227,-126,3.1482135169247234e-07,0.06613697986584012
0,946,-332,279,3.299895802499458e-07,0.06613698086902063
0,497,6,19,3.3343508980009867e-07,0.0661369369921304
0,994,12,38,3.3343508980009867e-07,0.0661369369921304
0,877,-181,169,3.627623881077986e-07,0.06613693505251207
0,208,-559,405,3.838076266436231e-07,0.06613698442838256
0,829,-525,410,3.925959081904488e-07,0.06613698500961278
0,621,34,5,3.955394885413804e-07,0.06613698520429223
0,380,-187,150,4.0111940766855956e-07,0.06613693251569544
0,760,-374,300,4.0111940766855956e-07,0.06613693251569544
0,413,593,-400,4.014480313357687e-07,0.06613698559506528
0,643,-567,431,4.534352800172265e-07,0.06613692905568273
0,917,434,-264,4.6316240371283297e-07,0.0661369896766662
0,903,764,-498,4.701642626287044e-07,0.0661369279492787
0,504,-159,136,5.13733903340395e-07,0.0661369930213114
0,786,571,-367,5.232397765155592e-07,0.06613692443902561
0,263,-380,281,5.290247530575648e-07,0.06613692405642485
0,800,241,-133,5.475147358523045e-07,0.06613699525547294
0,932,-2,45,5.762962557237169e-07,0.06613692093003141
0,669,378,-236,5.948798209499639e-07,0.06613691970097092
0,891,-511,403,5.961118287936577e-07,0.06613699846953688
0,296,400,-269,6.050334519232132e-07,0.06613699905958591
0,406,758,-517,6.375396330609734e-07,0.06613691687958068
0,815,-195,176,6.427193194943922e-07,0.06613691653701197
0,979,448,-271,6.43915786271495e-07,0.06613700163114526
0,683,48,-2,6.6076669591154e-07,0.06613700274561318
0,552,185,-105,6.968890133896282e-07,0.06613691295439314
0,387,-352,267,7.033947082975652e-07,0.06613700556490029
0,774,-704,534,7.033947082975652e-07,0.06613700556490029
0,698,-388,307,7.314102874117751e-07,0.06613691067126105
0,862,255,-140,7.467348255704632e-07,0.06613700843128385
0,841,750,-491,7.493840198314855e-07,0.06613690948253305
0,987,177,-79,7.660320224363329e-07,0.06613690838148478
0,953,-497,396,7.731471888165246e-07,0.06613701017811724
0,475,607,-407,7.820456177264594e-07,0.06613701076663227
0,566,-145,129,8.208401384016999e-07,0.06613701333238389
0,289,565,-386,8.496513015332793e-07,0.06613690285115995
0,724,557,-360,8.521272041113387e-07,0.06613690268741128
0,435,-8,26,8.537721163189156e-07,0.06613690257862179
0,870,-16,52,8.537721163189156e-07,0.06613690257862179
0,581,-581,438,8.558218874321654e-07,0.06613690244305616
0,146,-573,412,8.619290765808021e-07,0.06613690203914524
0,745,62,-9,8.818487038519016e-07,0.06613701736730489
0,836,-690,527,8.972501623573175e-07,0.06613701838591052
0,924,269,-147,9.192197519005117e-07,0.06613701983891236
0,753,-209,183,9.687780559328387e-07,0.06613689497247867
0,607,364,-229,9.944781399199087e-07,0.06613689327275327
0,925,163,-72,1.0397267428248104e-06,0.06613689028014827
0,270,-545,398,1.0574282079745836e-06,0.06613702897959936
0,449,-338,260,1.0643371555083283e-06,0.06613702943653614
0,898,-676,520,1.0643371555083283e-06,0.06613702943653614
0,628,-131,122,1.0673075620969328e-06,0.0661370296329898
0,807,76,-16,1.0689602421522347e-06,0.06613702974229303
0,986,283,-154,1.070012861583836e-06,0.06613702981191008
0,779,736,-484,1.0730495406987258e-06,0.06613688807627975
0,537,621,-414,1.0747584697162518e-06,0.06613703012577017
0,179,207,-138,1.0747584705555882e-06,0.06613703012577023
0,358,414,-276,1.0747584705555882e-06,0.06613703012577023
0,954,-603,471,1.1260975029515006e-06,0.06613688456784884
0,318,-201,157,1.1260975033711688e-06,0.06613688456784882
0,636,-402,314,1.1260975033711688e-06,0.06613688456784882
0,808,-30,59,1.1738309062386958e-06,0.0661368814109067
0,490,171,-98,1.2048089111121962e-06,0.06613687936211567
0,980,342,-196,1.2048089111121962e-06,0.06613687936211567
0,960,-662,513,1.2098420802713078e-06,0.06613703905978939
0,869,90,-23,1.2293723205426248e-06,0.06613704035146009
0,662,543,-353,1.2426189234483103e-06,0.06613687686147643
0,690,-117,115,1.2694822900022537e-06,0.0661370430042115
0,599,635,-421,1.3068763436296485e-06,0.06613704547734049
0,511,-324,253,1.3376927873844699e-06,0.06613704751544637
0,172,372,-255,1.3503334908234066e-06,0.0661368697375625
0,344,744,-510,1.3503334908234066e-06,0.0661368697375625
0,863,149,-65,1.3527472399181273e-06,0.06613686957792447
0,691,-223,190,1.3533480574133465e-06,0.06613686953818823
0,519,-595,445,1.3543471028475472e-06,0.0661368694721144
0,931,104,-30,1.3684190950226772e-06,0.06613704954759092
0,420,428,-283,1.4058027694172492e-06,0.06613705202003346
0,892,-617,478,1.4349446740713846e-06,0.06613686414163614
0,752,-103,108,1.438319695738464e-06,0.06613705417060409
0,717,722,-477,1.4526906861565327e-06,0.06613686296796886
1,676,-74,187,1.4529771610219527e-09,0.2817425091180012
1,430,-33,109,3.6817883576601134e-09,0.2817425076713195
1,860,-66,218,3.6817883576601134e-09,0.2817425076713195
1,922,-115,265,3.8477158467208835e-09,0.2817425097927009
1,614,-25,140,9.335048119519273e-09,0.2817425060785559
1,246,-41,78,1.0428380099998322e-08,0.28174251164675373
1,492,-82,156,1.0428380099998322e-08,0.28174251164675373
1,738,-123,234,1.0428380099998322e-08,0.28174251164675373
1,984,-164,312,1.0428380099998322e-08,0.28174251164675373
1,798,-17,171,1.2381290682422344e-08,0.28174250522029987
1,982,-9,202,1.4285968032565217e-08,0.2817425046836713
1,800,-172,281,1.8012595618898388e-08,0.28174251378354964
1,554,-131,203,2.1380316091420102e-08,0.28174251473237966
1,184,8,31,2.2546470196336698e-08,0.2817425023563367
1,368,16,62,2.2546470196336698e-08,0.2817425023563367
1,552,24,93,2.2546470196336698e-08,0.2817425023563367
1,736,32,124,2.2546470196336698e-08,0.2817425023563367
1,920,40,155,2.2546470196336698e-08,0.2817425023563367
1,862,-221,328,2.4505810589148876e-08,0.2817425156129643
1,308,-90,125,3.0127641239226534e-08,0.281742517196873
1,616,-180,250,3.0127641239226534e-08,0.281742517196873
1,924,-270,375,3.012764163328245e-08,0.2817425171968731
1,858,89,108,3.2000797859587333e-08,0.2817424996926507
1,674,81,77,3.4581801260193266e-08,0.2817424989654723
1,986,-319,422,3.504246720655244e-08,0.2817425185815884
1,678,-229,297,3.7275161036135044e-08,0.28174251921063315
1,490,73,46,3.9101190933227994e-08,0.28174249769216814
1,980,146,92,3.9101190933227994e-08,0.28174249769216814
1,796,138,61,4.292791029855449e-08,0.2817424966140186
1,370,-139,172,4.322498787177274e-08,0.2817425208869523
1,740,-278,344,4.322498787177274e-08,0.2817425208869523
1,802,-327,391,4.825489176162123e-08,0.28174252230409
1,306,65,15,4.905566362590782e-08,0.28174249488757
1,612,130,30,4.905566362590782e-08,0.28174249488757
1,918,195,45,4.905566362590782e-08,0.28174249488757
1,432,-188,219,5.256291102325818e-08,0.2817425235178422
1,864,-376,438,5.256291102325818e-08,0.2817425235178422
1,734,187,14,5.5701020038983265e-08,0.28174249301529064
1,926,-425,485,5.629404680630311e-08,0.28174252456906174
1,494,-237,266,5.9556902103487994e-08,0.2817425254883468
1,988,-474,532,5.9556902103487994e-08,0.2817425254883468
1,428,122,-1,6.045213921936537e-08,0.2817424916766984
1,856,244,-2,6.045213921936537e-08,0.2817424916766984
1,978,301,-18,6.401790766383471e-08,0.28174249067206986
1,556,-286,313,6.499108234102858e-08,0.28174252701938635
1,550,179,-17,6.679272392042659e-08,0.28174248989028616
1,618,-335,360,6.933490887270637e-08,0.28174252824322693
1,672,236,-33,7.083107259188794e-08,0.2817424887525117
